set K := k1 k2;
set P := 1 2 3;

set N := 1 2 3 4 5 6 7 8 9;
set R := 1 2 3;
set C := 4 5 6 7 8 9;

param Q := 100;
param L := 10000;

param D :=
  1 37
  2 42
  3 28
  4 0
  5 0
  6 0
  7 0
  8 0
  9 0 ;

param d :=
  # como ya lo tenías, 1 producto por consumer
  1 4 0   2 4 0   3 4 1
  1 5 0   2 5 1   3 5 0
  1 6 0   2 6 1   3 6 0
  1 7 1   2 7 0   3 7 0
  1 8 1   2 8 0   3 8 0
  1 9 0   2 9 1   3 9 0 ;

param I :=
  # inventarios por tienda y producto, como ya lo pusimos
  1 1 2   2 1 1   3 1 0
  1 2 0   2 2 2   3 2 0
  1 3 2   2 3 0   3 3 1 ;

# Coordenadas de Tabla 1 / Fig. 1
param X :=
  0 95
  1 54
  2 19
  3 75
  4 60
  5 8
  6 35
  7 60
  8 48
  9 41 ;

param Y :=
  0 66
  1 23
  2 40
  3 19
  4 20
  5 89
  6 42
  7 10
  8 93
  9 99 ;

param O :=
  0 0
  1 0
  2 0
  3 0
  4 0
  5 0
  6 0
  7 0
  8 0
  9 0 ;
